Ship Name,Occupancy,Date,Arrival Datetime,Departure Datetime
Carnival Dream,"4,533",2022-06-01,2022-06-01 08:00:00,2022-06-01 17:00:00
Carnival Vista,"4,716",2022-06-08,2022-06-08 08:00:00,2022-06-08 17:00:00
Liberty Of The Seas,"4,356",2022-06-09,2022-06-09 07:00:00,2022-06-09 17:00:00
Carnival Glory,"3,581",2022-06-09,2022-06-09 08:00:00,2022-06-09 17:00:00
Caribbean Princess,"3,766",2022-06-15,2022-06-15 07:00:00,2022-06-15 17:00:00
Carnival Vista,"4,716",2022-06-22,2022-06-22 08:00:00,2022-06-22 17:00:00
Carnival Glory,"3,581",2022-06-23,2022-06-23 08:00:00,2022-06-23 17:00:00
Caribbean Princess,"3,766",2022-06-29,2022-06-29 07:00:00,2022-06-29 17:00:00
Carnival Dream,"4,533",2022-06-29,2022-06-29 08:00:00,2022-06-29 17:00:00
Celebrity Infinity,"2,604",2022-07-05,2022-07-05 07:00:00,2022-07-05 17:00:00
Carnival Vista,"4,716",2022-07-06,2022-07-06 08:00:00,2022-07-06 17:00:00
Carnival Glory,"3,581",2022-07-07,2022-07-07 08:00:00,2022-07-07 17:00:00
Caribbean Princess,"3,766",2022-07-13,2022-07-13 07:00:00,2022-07-13 17:00:00
Celebrity Infinity,"2,604",2022-07-19,2022-07-19 07:00:00,2022-07-19 17:00:00
Carnival Vista,"4,716",2022-07-20,2022-07-20 08:00:00,2022-07-20 17:00:00
Liberty Of The Seas,"4,356",2022-07-21,2022-07-21 07:00:00,2022-07-21 17:00:00
Carnival Dream,"4,533",2022-07-27,2022-07-27 08:00:00,2022-07-27 17:00:00
Celebrity Infinity,"2,604",2022-08-02,2022-08-02 07:00:00,2022-08-02 17:00:00
Carnival Vista,"4,716",2022-08-03,2022-08-03 08:00:00,2022-08-03 17:00:00
Carnival Glory,"3,581",2022-08-04,2022-08-04 08:00:00,2022-08-04 17:00:00
Carnival Dream,"4,533",2022-08-10,2022-08-10 08:00:00,2022-08-10 17:00:00
Celebrity Infinity,"2,604",2022-08-16,2022-08-16 07:00:00,2022-08-16 17:00:00
Carnival Vista,"4,716",2022-08-17,2022-08-17 08:00:00,2022-08-17 17:00:00
Carnival Glory,"3,581",2022-08-18,2022-08-18 08:00:00,2022-08-18 17:00:00
Carnival Dream,"4,533",2022-08-24,2022-08-24 08:00:00,2022-08-24 17:00:00
Celebrity Infinity,"2,604",2022-08-30,2022-08-30 07:00:00,2022-08-30 17:00:00
Carnival Vista,"4,716",2022-08-31,2022-08-31 08:00:00,2022-08-31 17:00:00
Carnival Glory,"3,581",2022-09-01,2022-09-01 08:00:00,2022-09-01 17:00:00
Celebrity Infinity,"2,604",2022-09-13,2022-09-13 07:00:00,2022-09-13 17:00:00
Carnival Vista,"4,716",2022-09-14,2022-09-14 08:00:00,2022-09-14 17:00:00
Liberty Of The Seas,"4,356",2022-09-15,2022-09-15 07:00:00,2022-09-15 17:00:00
Carnival Glory,"3,581",2022-09-15,2022-09-15 08:00:00,2022-09-15 17:00:00
Carnival Dream,"4,533",2022-09-21,2022-09-21 08:00:00,2022-09-21 17:00:00
Celebrity Infinity,"2,604",2022-09-27,2022-09-27 07:00:00,2022-09-27 17:00:00
Carnival Vista,"4,716",2022-09-28,2022-09-28 08:00:00,2022-09-28 17:00:00
Celebrity Infinity,"2,604",2022-10-11,2022-10-11 07:00:00,2022-10-11 17:00:00
Carnival Vista,"4,716",2022-10-12,2022-10-12 08:00:00,2022-10-12 17:00:00
Carnival Glory,"3,581",2022-10-13,2022-10-13 08:00:00,2022-10-13 17:00:00
Viking Star,930,2022-10-18,2022-10-18 00:00:00,2022-10-18 00:00:00
Carnival Dream,"4,533",2022-10-19,2022-10-19 08:00:00,2022-10-19 17:00:00
Celebrity Infinity,"2,604",2022-10-25,2022-10-25 07:00:00,2022-10-25 17:00:00
Carnival Vista,"4,716",2022-10-26,2022-10-26 08:00:00,2022-10-26 17:00:00
Carnival Glory,"3,581",2022-10-27,2022-10-27 08:00:00,2022-10-27 17:00:00
MSC Divina,"4,202",2022-10-30,2022-10-30 11:00:00,2022-10-30 19:00:00
Viking Star,930,2022-11-01,2022-11-01 00:00:00,2022-11-01 00:00:00
Serenade Of The Seas,"2,580",2022-11-02,2022-11-02 08:00:00,2022-11-02 18:00:00
Mein Schiff 1,"2,894",2022-11-04,2022-11-04 08:00:00,2022-11-04 19:00:00
Celebrity Infinity,"2,604",2022-11-08,2022-11-08 09:00:00,2022-11-08 17:00:00
Celebrity Constellation,"2,556",2022-11-08,2022-11-08 10:00:00,2022-11-08 18:00:00
Serenade Of The Seas,"2,580",2022-11-09,2022-11-09 08:00:00,2022-11-09 18:00:00
Carnival Vista,"4,716",2022-11-09,2022-11-09 08:00:00,2022-11-09 17:00:00
Carnival Glory,"3,581",2022-11-10,2022-11-10 08:00:00,2022-11-10 17:00:00
Viking Star,930,2022-11-13,2022-11-13 00:00:00,2022-11-13 00:00:00
Seabourn Quest,540,2022-11-14,2022-11-14 10:00:00,2022-11-14 19:00:00
Celebrity Apex,"3,373",2022-11-15,2022-11-15 07:00:00,2022-11-15 16:00:00
Carnival Pride,"2,549",2022-11-15,2022-11-15 08:00:00,2022-11-15 17:00:00
Serenade Of The Seas,"2,580",2022-11-16,2022-11-16 08:00:00,2022-11-16 18:00:00
Carnival Dream,"4,533",2022-11-16,2022-11-16 08:00:00,2022-11-16 17:00:00
Carnival Glory,"3,581",2022-11-16,2022-11-16 08:00:00,2022-11-16 17:00:00
AIDAdiva,"2,500",2022-11-17,2022-11-17 10:30:00,2022-11-17 19:00:00
Mein Schiff 1,"2,894",2022-11-18,2022-11-18 08:00:00,2022-11-18 19:00:00
Viking Star,930,2022-11-21,2022-11-21 00:00:00,2022-11-21 00:00:00
Sky Princess,"4,610",2022-11-23,2022-11-23 07:00:00,2022-11-23 18:00:00
Carnival Pride,"2,549",2022-11-23,2022-11-23 08:00:00,2022-11-23 17:00:00
Carnival Vista,"4,716",2022-11-23,2022-11-23 08:00:00,2022-11-23 17:00:00
Carnival Glory,"3,581",2022-11-24,2022-11-24 08:00:00,2022-11-24 17:00:00
Celebrity Apex,"3,373",2022-11-29,2022-11-29 07:00:00,2022-11-29 16:00:00
Carnival Pride,"2,549",2022-11-30,2022-11-30 08:00:00,2022-11-30 17:00:00
Carnival Spirit,"2,549",2022-11-30,2022-11-30 08:00:00,2022-11-30 17:00:00
Carnival Freedom,"3,581",2022-11-30,2022-11-30 08:00:00,2022-11-30 17:00:00
Serenade Of The Seas,"2,580",2022-11-30,2022-11-30 08:00:00,2022-11-30 18:00:00
AIDAdiva,"2,500",2022-12-01,2022-12-01 10:30:00,2022-12-01 19:00:00
Mein Schiff 1,"2,894",2022-12-02,2022-12-02 08:00:00,2022-12-02 19:00:00
Viking Star,930,2022-12-05,2022-12-05 00:00:00,2022-12-05 00:00:00
Seabourn Quest,540,2022-12-06,2022-12-06 07:00:00,2022-12-06 16:00:00
Sky Princess,"4,610",2022-12-07,2022-12-07 07:00:00,2022-12-07 18:00:00
Carnival Vista,"4,716",2022-12-07,2022-12-07 08:00:00,2022-12-07 17:00:00
Radiance Of The Seas,"2,546",2022-12-07,2022-12-07 08:00:00,2022-12-07 17:00:00
Carnival Pride,"2,549",2022-12-07,2022-12-07 08:00:00,2022-12-07 17:00:00
MSC Meraviglia,"5,386",2022-12-08,2022-12-08 09:00:00,2022-12-08 19:00:00
Marella Discovery 2,"2,198",2022-12-10,2022-12-10 08:00:00,2022-12-10 18:00:00
Seabourn Quest,540,2022-12-12,2022-12-12 10:00:00,2022-12-12 19:00:00
Celebrity Apex,"3,373",2022-12-13,2022-12-13 07:00:00,2022-12-13 16:00:00
Carnival Dream,"4,533",2022-12-14,2022-12-14 08:00:00,2022-12-14 17:00:00
Serenade Of The Seas,"2,580",2022-12-14,2022-12-14 08:00:00,2022-12-14 17:00:00
AIDAdiva,"2,500",2022-12-15,2022-12-15 10:30:00,2022-12-15 19:00:00
Mein Schiff 1,"2,894",2022-12-16,2022-12-16 08:00:00,2022-12-16 19:00:00
Viking Star,930,2022-12-17,2022-12-17 00:00:00,2022-12-17 00:00:00
Carnival Vista,"4,716",2022-12-21,2022-12-21 08:00:00,2022-12-21 17:00:00
Star Legend,312,2022-12-23,2022-12-23 08:00:00,2022-12-23 17:00:00
Carnival Glory,"3,581",2022-12-23,2022-12-23 08:00:00,2022-12-23 17:00:00
Viking Star,930,2022-12-25,2022-12-25 00:00:00,2022-12-25 00:00:00
Ruby Princess,"3,672",2022-12-25,2022-12-25 07:00:00,2022-12-25 18:00:00
Celebrity Apex,"3,373",2022-12-26,2022-12-26 07:00:00,2022-12-26 16:00:00
MSC Meraviglia,"5,386",2022-12-26,2022-12-26 09:00:00,2022-12-26 19:00:00
MSC Divina,"4,202",2022-12-26,2022-12-26 12:00:00,2022-12-26 20:00:00
Carnival Pride,"2,549",2022-12-27,2022-12-27 08:00:00,2022-12-27 17:00:00
Serenade Of The Seas,"2,580",2022-12-28,2022-12-28 08:00:00,2022-12-28 17:00:00
Radiance Of The Seas,"2,546",2022-12-28,2022-12-28 08:00:00,2022-12-28 17:00:00
AIDAdiva,"2,500",2022-12-29,2022-12-29 10:30:00,2022-12-29 19:00:00
Carnival Glory,"3,581",2022-12-30,2022-12-30 08:00:00,2022-12-30 17:00:00
Mein Schiff 1,"2,894",2022-12-30,2022-12-30 08:00:00,2022-12-30 19:00:00
Silver Dawn,691,2022-12-30,2022-12-30 10:00:00,2022-12-30 19:00:00
Star Legend,312,2022-12-31,2022-12-31 13:00:00,2022-12-31 22:00:00
MSC Meraviglia,"5,386",2023-01-02,2023-01-02 07:00:00,2023-01-02 17:00:00
Silver Moon,691,2023-01-03,2023-01-03 07:00:00,2023-01-03 16:00:00
Seabourn Quest,540,2023-01-03,2023-01-03 07:00:00,2023-01-03 16:00:00
Carnival Pride,"2,549",2023-01-03,2023-01-03 08:00:00,2023-01-03 17:00:00
Ruby Princess,"3,672",2023-01-04,2023-01-04 07:00:00,2023-01-04 18:00:00
Carnival Vista,"4,716",2023-01-04,2023-01-04 08:00:00,2023-01-04 17:00:00
Carnival Glory,"3,581",2023-01-05,2023-01-05 08:00:00,2023-01-05 17:00:00
MSC Seascape,"5,877",2023-01-06,2023-01-06 07:00:00,2023-01-06 14:00:00
